Charlotte;Zimmermann;f;Zug;59;45660;
Maximilian;Michaelis;m;Solothurn;22;72265;
Dorothea;Gottschalk;f;Volketswil;35;65210;
Christopher;Büchner;m;Genf;65;43317;
Valentino;Hannemann;m;Horw;64;85553;
Giuseppe;Schumacher;m;Brugg;28;64004;
Theresa;Schumacher;f;Herisau;21;85512;
Kimberly;Schindler;f;Freiburg;29;42721;
Annalena;Schilling;f;Uster;52;97727;
Christina;Böttcher;f;Yverdon-les-Bains;56;92817;
Julina;Fleischmann;f;Thalwil;21;88452;
Violetta;Engelmann;f;Langenthal;25;48664;
Kimberley;Hagemann;f;Thun;69;41052;
Alexander;Eckhardt;m;Morges;31;51606;
Johannes;Trautmann;m;Gland;69;64885;
Richard;Schleicher;m;Baar;35;65947;
Leandro;Friedrichs;m;Aarau;28;41451;
Frederik;Kirchhoff;m;Bulle;23;46209;
Jeremy;Kretzschmar;m;Pully;68;73265;
Ferdinand;Schüller;m;Schwyz;23;45006;
Leonardo;Buschmann;m;Delsberg;38;75813;
Eduard;Morgenstern;m;Frauenfeld;35;98769;
Fabrizio;Schneider;m;Adliswil;21;49485;
Cornelius;Schröder;m;Herisau;22;91916;
Youssef;Zimmermann;m;Binningen;39;88973;
Josephine/;Peters;f;Kloten;70;99159;
Elisabeth;Seifert;f;Rüti;70;72726;
Valentina;Lindner;f;Rheinfelden;31;90679;
Alexandra;Förster;f;Weinfelden;22;92653;
Felicitas;Stephan;f;Aarau;32;99373;
Veronika;Bachmann;f;Nyon;35;46892;
Henriette;Brunner;f;Bülach;25;67579;
Holly;Hildebrandt;f;Davos;69;99585;
Charlotta;Philipp;f;Bulle;21;62996;
Cecilia;Lindemann;f;Thônex;21;42616;
Josephina;Wiegand;f;Oftringen;33;42464;
Laureen;Schweizer;f;Emmen;21;59521;
Belinay;Hentschel;f;Renens;58;52938;
Lieselotte;Albers;f;Pully;22;99037;
Polly;Baumgartner;f;Martigny;49;92623;
Annabella;Geisler;f;Schwyz;27;43359;
Louisa;Winkelmann;f;Rheinfelden;22;98378;
Stephanie;Schober;f;Reinach;69;44443;
Benjamin;Heitmann;m;Ebikon;23;41559;
Marvin;Westermann;m;Rapperswil-Jona;33;88799;
Christian;Clemens;m;Carouge;38;99011;
Dennis;Baumeister;m;Thalwil;56;89178;
Henrik;Schweitzer;m;Freienbach;22;42666;
Leonhard;Eckstein;m;Buchs;59;99071;
Janosch;Rupprecht;m;Siders;63;99392;
Angelo;Armbruster;m;Oberwil;21;48680;
Nicolai;Drechsler;m;Luzern;41;41164;
Melvin;Sommerfeld;m;Nyon;56;99393;
Frederic;Kaufmann;m;Wil;40;82670;
Stephan;Schilling;m;Herisau;68;97797;
Hannah;Schneider;f;Basel;70;98403;
Johanna;Schröder;f;Uster;67;83391;
Jasmin;Friedrich;f;Pully;25;41157;
Pauline;Schuster;f;Solothurn;42;71502;
Magdalena;Franke;f;Opfikon;60;99315;
Helene;Schreiber;f;Arbon;32;46719;
Anastasia;Wenzel;f;Ecublens;67;89022;
Rebekka;Petersen;f;Köniz;53;92558;
Valerie;Kirchner;f;Pully;54;98321;
Marina;Ackermann;f;Versoix;70;89891;
Selin;Engelhardt;f;Münchenstein;24;98054;
Valeria;Bischoff;f;Delsberg;21;98982;
Madeleine;Hennig;f;Aesch;58;96250;
Aleyna;Marquardt;f;Köniz;27;89616;
Janina;Wiedemann;f;Frauenfeld;21;53404;
Penelope;Wegener;f;Pfäffikon;60;46962;
Charleen;Schüler;f;Chêne-Bougeries;22;40607;
Betty;Wunderlich;f;Biel/Bienne;61;58645;
Sabrina;Eichhorn;f;Wetzikon;46;51403;
Saphira;Steffens;f;Wil;21;70717;
Philippa;Jürgens;f;Schlieren;54;56814;
Frederike;Sauter;f;Liestal;44;77077;
Mieke;Kretschmer;f;Uzwil;21;63641;
Wiebke;Steinbach;f;Brig-Glis;26;99472;
Sofie;Neugebauer;f;Zollikon;41;80428;
Frida;Brüggemann;f;Villars-sur-Glâne;66;97651;
Caroline;Frenzel;f;Genf;21;98365;
Linnea;Schürmann;f;Uster;45;71527;
Chayenne;Petzold;f;Rapperswil-Jona;21;56033;
Lillian;Dittmann;f;Meyrin;21;57688;
Kassandra;Wittig;f;Horgen;41;47861;
Raphaela;Klinger;f;Muttenz;28;82763;
Rafael;Leonhardt;m;Wallisellen;21;52098;
Jonathan;Matthes;m;Oftringen;23;72715;
Constantin;Claus;m;Bassersdorf;41;93073;
Sebastian;Jensen;m;Ittigen;70;41576;
Valentin;Stenzel;m;Belp;21;40882;
Kilian;Schönfeld;m;Luzern;69;45798;
Gabriel;Pohlmann;m;Freiburg;69;87707;
Manuel;Brockmann;m;Nyon;68;56593;
Ludwig;Schwarzer;m;Martigny;70;74938;
Jasper;Oppermann;m;Morges;39;48390;
Maurice;Steinert;m;Meilen;21;47631;
Laurens;Heckmann;m;Amriswil;21;91495;
Markus;Grundmann;m;Rheinfelden;50;63371;
Leander;Knobloch;m;Bassersdorf;22;76924;
Mehmet;Obermeier;m;Winterthur;44;98438;
Victor;Schmidtke;m;Köniz;40;84505;
Nathan;Burghardt;m;Baden;69;87500;
Ibrahim;Gottwald;m;Martigny;67;40607;
Emanuel;Schiffer;m;Uzwil;52;97134;
Elian;Kellermann;m;Davos;70;43483;
Furkan;Tiedemann;m;Affoltern;22;90755;
Rico;Schuhmacher;m;Genf;62;98408;
Joscha;Dieckmann;m;Winterthur;26;93333;
Ilja;Rosenberger;m;Vevey;45;99433;
Adriano;Schubert;m;Mendrisio;37;62375;
August;Friedrich;m;Worb;22;92898;
Fridolin;Winkler;m;Affoltern;59;40641;
Nathanael;Franke;m;Zofingen;70;51700;
Riccardo;Walther;m;Illnau-Effretikon;29;51941;
Joseph;Schindler;m;Ostermundigen;67;57773;
Leonie;Hoffmann;f;Thun;52;41741;
Marlene;Schulze;f;Bulle;22;92349;
Katharina;Frank;f;Thalwil;60;42810;
Antonia;Winkler;f;Monthey;36;97222;
Franziska;Jäger;f;Langenthal;70;40600;
Annabell;Brandt;f;Thônex;22;46863;
Vanessa;Schulte;f;Horw;35;44373;
Rosalie;Wilhelm;f;Altstätten;58;42961;
Angelina;Zimmer;f;Hinwil;45;99524;
Mariella;Eckert;f;Lugano;25;42027;
Samantha;Thiele;f;Zug;40;98617;
Evelyn;Fröhlich;f;Dietikon;67;95299;
Zeynep;Beckmann;f;Carouge;68;96823;
Helen;Brinkmann;f;Freienbach;60;93009;
Cheyenne;Rieger;f;Cham;25;52724;
Aurora;Buchholz;f;Ebikon;43;97626;
Florentine;Bach;f;Lyss;47;45232;
Annelie;Bartsch;f;Gland;23;70551;
Hermine;Freitag;f;Chêne-Bougeries;63;40955;
Madlen;Neubauer;f;Bern;41;86062;
Mariam;Westphal;f;Winterthur;22;43778;
Jennifer;Conrad;f;Rapperswil-Jona;70;88258;
Jasmina;Metzger;f;Horgen;64;98411;
Mathilde;Herbst;f;Onex;36;42608;
Patricia;Probst;f;Schlieren;54;73471;
Delia;Burkhardt;f;Grenchen;69;91982;
